time,cases
1132358400000,140
1132963200000,145
1133568000000,124
1134172800000,88
1134777600000,116
1135382400000,85
1135987200000,84
1136592000000,83
1137196800000,62
1137801600000,46
1138406400000,72
1139011200000,41
1139616000000,75
1140220800000,55
1140825600000,75
1141430400000,60
1142035200000,60
1142640000000,37
1143244800000,44
1143849600000,39
1144454400000,39
1145059200000,40
1145664000000,32
1146268800000,38
1146873600000,52
1147478400000,43
1148083200000,74
1148688000000,80
1149292800000,76
1149897600000,84
1150502400000,85
1151107200000,87
1151712000000,95
1152316800000,105
1152921600000,102
1153526400000,100
1154131200000,70
1154736000000,78
1155340800000,80
1155945600000,73
1156550400000,77
1157155200000,59
1157760000000,56
1158364800000,58
1158969600000,54
1159574400000,54
1160179200000,52
1160784000000,48
1161388800000,42
1161993600000,37
1162598400000,46
1163203200000,40
1163808000000,45
1164412800000,42
1165017600000,40
1165622400000,45
1166227200000,56
1166832000000,45
1167436800000,49
1168041600000,61
1168646400000,64
1169251200000,48
1169856000000,55
1170460800000,56
1171065600000,35
1171670400000,58
1172275200000,49
1172880000000,61
1173484800000,71
1174089600000,45
1174694400000,88
1175299200000,62
1175904000000,89
1176508800000,127
1177113600000,99
1177718400000,129
1178323200000,111
1178928000000,180
1179532800000,210
1180137600000,259
1180742400000,227
1181347200000,293
1181952000000,401
1182556800000,349
1183161600000,381
1183766400000,432
1184371200000,377
1184976000000,363
1185580800000,322
1186185600000,311
1186790400000,246
1187395200000,242
1188000000000,242
1188604800000,192
1189209600000,211
1189814400000,203
1190419200000,196
1191024000000,187
1191628800000,175
1192233600000,157
1192838400000,124
1193443200000,145
1194048000000,117
1194652800000,108
1195257600000,127
1195862400000,139
1196467200000,145
1197072000000,132
1197676800000,128
1198281600000,97
1198886400000,122
1199491200000,116
1200096000000,120
1200700800000,105
1201305600000,131
1201910400000,110
1202515200000,68
1203120000000,103
1203724800000,110
1204329600000,88
1204934400000,72
1205539200000,74
1206144000000,67
1206748800000,86
1207353600000,77
1207958400000,97
1208563200000,104
1209168000000,88
1209772800000,117
1210377600000,108
1210982400000,146
1211587200000,132
1212192000000,145
1212796800000,174
1213401600000,165
1214006400000,155
1214611200000,132
1215216000000,158
1215820800000,130
1216425600000,127
1217030400000,122
1217635200000,150
1218240000000,154
1218844800000,133
1219449600000,162
1220054400000,150
1220659200000,143
1221264000000,119
1221868800000,129
1222473600000,144
1223078400000,138
1223683200000,178
1224288000000,160
1224892800000,174
1225497600000,133
1226102400000,153
1226707200000,153
1227312000000,134
1227916800000,151
1228521600000,155
1229126400000,182
1229731200000,222
1230336000000,189
1230940800000,199
1231545600000,242
1232150400000,144
1232755200000,126
1233360000000,116
1233964800000,124
1234569600000,137
1235174400000,124
1235779200000,114
1236384000000,88
1236988800000,74
1237593600000,83
1238198400000,79
1238803200000,86
1239408000000,94
1240012800000,104
1240617600000,107
1241222400000,79
1241827200000,95
1242432000000,85
1243036800000,114
1243641600000,122
1244246400000,81
1244851200000,105
1245456000000,99
1246060800000,107
1246665600000,77
1247270400000,59
1247875200000,73
1248480000000,63
1249084800000,64
1249689600000,83
1250294400000,68
1250899200000,74
1251504000000,78
1252108800000,54
1252713600000,44
1253318400000,55
1253923200000,59
1254528000000,55
1255132800000,74
1255737600000,54
1256342400000,73
1256947200000,80
1257552000000,75
1258156800000,76
1258761600000,72
1259366400000,45
1259971200000,64
1260576000000,62
1261180800000,73
1261785600000,73
1262390400000,68
1262995200000,92
1263600000000,80
1264204800000,75
1264809600000,131
1265414400000,97
1266019200000,111
1266624000000,52
1267228800000,93
1267833600000,86
1268438400000,81
1269043200000,80
1269648000000,67
1270252800000,41
1270857600000,72
1271462400000,61
1272067200000,67
1272672000000,62
1273276800000,52
1273881600000,66
1274486400000,61
1275091200000,75
1275696000000,74
1276300800000,87
1276905600000,93
1277510400000,115
1278115200000,135
1278720000000,105
1279324800000,153
1279929600000,121
1280534400000,123
1281139200000,127
1281744000000,132
1282348800000,147
1282953600000,123
1283558400000,145
1284163200000,120
1284768000000,175
1285372800000,182
1285977600000,168
1286582400000,169
1287187200000,147
1287792000000,152
1288396800000,132
1289001600000,102
1289606400000,116
1290211200000,92
1290816000000,81
1291420800000,98
1292025600000,87
1292630400000,80
1293235200000,94
1293840000000,87
1294444800000,87
1295049600000,102
1295654400000,64
1296259200000,68
1296864000000,36
1297468800000,60
1298073600000,71
1298678400000,55
1299283200000,66
1299888000000,70
1300492800000,72
1301097600000,65
1301702400000,72
1302307200000,88
1302912000000,76
1303516800000,59
1304121600000,101
1304726400000,67
1305331200000,109
1305936000000,121
1306540800000,129
1307145600000,105
1307750400000,146
1308355200000,123
1308960000000,141
1309564800000,185
1310169600000,211
1310774400000,215
1311379200000,227
1311984000000,263
1312588800000,218
1313193600000,154
1313798400000,131
1314403200000,130
1315008000000,134
1315612800000,119
1316217600000,105
1316822400000,115
1317427200000,79
1318032000000,60
1318636800000,87
1319241600000,74
1319846400000,63
1320451200000,66
1321056000000,69
1321660800000,59
1322265600000,82
1322870400000,82
1323475200000,68
1324080000000,66
1324684800000,65
1325289600000,62
