,Average Rain,Avg Temp,dengue
2013-12-23,10.954721549636801,26.511428571428574,371.0
2013-12-30,2.8810177840861644,26.786258503401363,414.0
2014-01-06,8.938031226517495,26.312585034013605,437.0
2014-01-13,1.7419554145445435,26.780884353741495,479.0
2014-01-20,0.02179176755447942,26.152380952380952,401.0
2014-01-27,0.0,25.796190476190475,336.0
2014-02-03,0.00048426150121065375,26.32095238095238,234.0
2014-02-10,0.9292978208232454,26.86952380952381,274.0
2014-02-17,1.3106537530266344,27.58476190476191,369.0
2014-02-24,0.07072599531615927,27.58285714285714,194.0
2014-03-03,0.06175115207373271,27.553877551020406,187.0
2014-03-10,0.019954648526077097,27.644583333333337,210.0
2014-03-17,7.35452783263843,27.666071428571428,225.0
2014-03-24,7.943767469970536,27.331386054421767,210.0
2014-03-31,1.3551365760476592,28.546666666666663,225.0
